time,count
0,0
20,0
20,1
27.1,1
27.1,2
41.5,2
41.5,3
48.3,3
48.3,4
57.6,4
57.6,5
60.7,5
60.7,6
74,6
74,7
75.7,7
75.7,8
78.2,8
78.2,9
81.7,9
81.7,10
101.6,10
101.6,11
111.5,11
111.5,12
114.3,12
114.3,13
120.7,13
120.7,14
123.7,14
123.7,15
129.8,15
129.8,16
132.2,16
132.2,17
149.2,17
149.2,18
156.7,18
156.7,19
159.5,19
159.5,20
162,20
162,21
165.2,21
165.2,22
167.5,22
167.5,23
170.6,23
170.6,24
173,24
173,25
176.9,25
176.9,26
191.2,26
191.2,27
199.6,27
199.6,28
211,28
211,29
213,29
213,30
221,30
221,31
259.3,31
259.3,32
271.7,32
271.7,33
280.8,33
280.8,34
289.4,34
289.4,35
293.9,35
293.9,36
301.1,36
301.1,37
305.3,37
305.3,38
308.6,38
308.6,39
314.6,39
314.6,40
319.2,40
319.2,41
324.9,41
324.9,42
339.6,42
339.6,43
352.6,43
352.6,44
365.4,44
365.4,45
382.4,45
382.4,46
407.1,46
407.1,47
418.4,47
418.4,48
436.4,48
436.4,49
447.2,49
447.2,50
486.6,50
486.6,51
488.4,51
488.4,52
508.9,52
508.9,53
523.4,53
523.4,54
541.9,54
541.9,55
549.2,55
549.2,56
563.5,56
563.5,57
574.2,57
574.2,58
578.6,58
578.6,59
590.7,59
590.7,60
593.7,60
593.7,61
604.2,61
604.2,62
614.4,62
614.4,63
616.4,63
616.4,64
623.9,64
623.9,65
629.1,65
629.1,66
631.5,66
631.5,67
633.1,67
633.1,68
635.3,68
635.3,69
637.8,69
637.8,70
641.4,70
641.4,71
643.4,71
643.4,72
646.5,72
646.5,73
708.5,73
708.5,74
716.4,74
716.4,75
724,75
724,76
736.5,76
736.5,77
745.9,77
745.9,78
769.5,78
769.5,79
784.9,79
784.9,80
788.8,80
788.8,81
792.2,81
792.2,82
800.7,82
800.7,83
817.3,83
817.3,84
824.7,84
824.7,85
831,85
831,86
878.5,86
878.5,87
891.8,87
891.8,88
906.1,88
906.1,89
910.5,89
910.5,90
931.1,90
931.1,91
934.2,91
934.2,92
939.4,92
939.4,93
950.1,93
950.1,94
955.9,94
955.9,95
970.3,95
970.3,96
981.1,96
981.1,97
984.1,97
984.1,98
1030.9,98
1030.9,99
1044.6,99
1044.6,100
1050.2,100
1050.2,101
1056.4,101
1056.4,102
1060.2,102
1060.2,103
1065.5,103
1065.5,104
1071.3,104
1071.3,105
1079.6,105
1079.6,106
1083.4,106
1083.4,107
1086.3,107
1086.3,108
1125,108
1125,109
1127.2,109
1127.2,110
1130.5,110
1130.5,111
1132.8,111
1132.8,112
1155.2,112
1155.2,113
1176.3,113
1176.3,114
1186.1,114
1186.1,115
1189.8,115
1189.8,116
1197.8,116
1197.8,117
1201.6,117
1201.6,118
1206.4,118
1206.4,119
1208.8,119
1208.8,120
1220.1,120
1220.1,121
1223.5,121
1223.5,122
1245.8,122
1245.8,123
1288.8,123
1288.8,124
1324.1,124
1324.1,125
1334.2,125
1334.2,126
1345.5,126
1345.5,127
1351.8,127
1351.8,128
1354.1,128
1354.1,129
1363.2,129
1363.2,130
1366,130
1366,131
1376.6,131
1376.6,132
1378.5,132
1378.5,133
1381.7,133
1381.7,134
1386.3,134
1386.3,135
1387.4,135
1387.4,136
1389.7,136
1389.7,137
1391.9,137
1391.9,138
1395.2,138
1395.2,139
1396.5,139
1396.5,140
1402.3,140
1402.3,141
1409.1,141
1409.1,142
1411.6,142
1411.6,143
1416.1,143
1416.1,144
1418.6,144
1418.6,145
1424.3,145
1424.3,146
1429,146
1429,147
1458.3,147
1458.3,148
1466.5,148
1466.5,149
1469.4,149
1469.4,150
1471.1,150
1471.1,151
1476.4,151
1476.4,152
1501.4,152
1501.4,153
1504.5,153
1504.5,154
1507.7,154
1507.7,155
1509.4,155
1509.4,156
1515.2,156
1515.2,157
1545.7,157
1545.7,158
1559,158
1559,159
1561.4,159
1561.4,160
1563.4,160
1563.4,161
1570.8,161
1570.8,162
1586.2,162
1586.2,163
1592.4,163
1592.4,164
1634.8,164
1634.8,165
1639.6,165
1639.6,166
1647.1,166
1647.1,167
1656.8,167
1656.8,168
1668.9,168
1668.9,169
1672.9,169
1672.9,170
1679.3,170
1679.3,171
1692.2,171
1692.2,172
1694.2,172
1694.2,173
1699,173
1699,174
1705.3,174
1705.3,175
1709.1,175
1709.1,176
1720.5,176
1720.5,177
1742.3,177
1742.3,178
1763.3,178
1763.3,179
1765,179
1765,180
1768.7,180
1768.7,181
1798.2,181
1798.2,182
1803,182
1803,183
