time,count
0,0
5.3,0
5.3,1
11.6,1
11.6,2
113.3,2
113.3,3
114.60000000000001,3
114.60000000000001,4
117.2,4
117.2,5
119.4,5
119.4,6
145.70000000000002,6
145.70000000000002,7
182.1,7
182.1,8
187.9,8
187.9,9
189.2,9
189.2,10
192.6,10
192.6,11
194.7,11
194.7,12
197,12
197,13
199.5,13
199.5,14
203.8,14
203.8,15
220.7,15
220.7,16
223.9,16
223.9,17
226.7,17
226.7,18
248.2,18
248.2,19
250.6,19
250.6,20
266.9,20
266.9,21
282.9,21
282.9,22
284.9,22
284.9,23
286.1,23
286.1,24
293.7,24
293.7,25
309.3,25
309.3,26
312.2,26
312.2,27
317.3,27
317.3,28
326.5,28
326.5,29
344.8,29
344.8,30
414.9,30
414.9,31
432.2,31
432.2,32
433.7,32
433.7,33
434.8,33
434.8,34
469.7,34
469.7,35
474.8,35
474.8,36
500.59999999999997,36
500.59999999999997,37
504.5,37
504.5,38
542.2,38
542.2,39
559.3,39
559.3,40
566.6,40
566.6,41
585.5,41
585.5,42
589.3,42
589.3,43
596.4,43
596.4,44
598.6,44
598.6,45
670.6,45
670.6,46
679.3,46
679.3,47
684.8,47
684.8,48
694.2,48
694.2,49
696.9,49
696.9,50
738.4,50
738.4,51
754.8,51
754.8,52
761.4,52
761.4,53
765.3,53
765.3,54
782.3,54
782.3,55
798.5,55
798.5,56
842.1,56
842.1,57
847.3,57
847.3,58
865.2,58
865.2,59
870.1,59
870.1,60
930.5,60
930.5,61
935.5,61
935.5,62
947.5,62
947.5,63
949.8,63
949.8,64
953.6,64
953.6,65
955.9,65
955.9,66
957.8,66
957.8,67
961.3,67
961.3,68
1168.5,68
1168.5,69
1177.8,69
1177.8,70
1182.6,70
1182.6,71
1184.5,71
1184.5,72
1187.6,72
1187.6,73
1188.5,73
1188.5,74
1191.8,74
1191.8,75
1195.3,75
1195.3,76
1196.6,76
1196.6,77
1201,77
1201,78
1212.6,78
1212.6,79
1218,79
1218,80
1223.3,80
1223.3,81
1255,81
1255,82
1259.7,82
1259.7,83
1262.7,83
1262.7,84
1265.3,84
1265.3,85
1266.6,85
1266.6,86
1269.1,86
1269.1,87
1274.1,87
1274.1,88
1291.4,88
1291.4,89
1296.6,89
1296.6,90
1299.2,90
1299.2,91
1302.3,91
1302.3,92
1318.2,92
1318.2,93
1320.7,93
1320.7,94
1328.1,94
1328.1,95
1335.4,95
1335.4,96
1343.2,96
1343.2,97
1352.2,97
1352.2,98
1384.8,98
1384.8,99
1392.2,99
1392.2,100
1418.8,100
1418.8,101
1425.7,101
1425.7,102
1437.5,102
1437.5,103
1444.6,103
1444.6,104
1458.3,104
1458.3,105
1472.1,105
1472.1,106
1482,106
1482,107
1483.9,107
1483.9,108
1490.2,108
1490.2,109
1500.7,109
1500.7,110
1508.8,110
1508.8,111
1517.7,111
1517.7,112
1522.9,112
1522.9,113
1527.4,113
1527.4,114
1530.9,114
1530.9,115
1534.4,115
1534.4,116
1538.2,116
1538.2,117
1547.7,117
1547.7,118
1553.9,118
1553.9,119
1561.6,119
1561.6,120
1562.5,120
1562.5,121
1609,121
1609,122
1613.6,122
1613.6,123
1620.6,123
1620.6,124
1622,124
1622,125
1636.9,125
1636.9,126
1643.4,126
1643.4,127
1665,127
1665,128
1667.6,128
1667.6,129
1679.9,129
1679.9,130
1692.6,130
1692.6,131
1696.2,131
1696.2,132
1698.4,132
1698.4,133
1703.3,133
1703.3,134
1715.6,134
1715.6,135
1749.9,135
1749.9,136
1758.6,136
1758.6,137
1763.3,137
1763.3,138
1804.4,138
1804.4,139
1811.2,139
1811.2,140
1855,140
1855,141
1861.1,141
1861.1,142
1867.5,142
1867.5,143
1871.9,143
1871.9,144
1952.4,144
1952.4,145
1973.4,145
1973.4,146
1980,146
1980,147
1997.5,147
1997.5,148
2002.8,148
2002.8,149
2014.8,149
2014.8,150
2016.7,150
2016.7,151
2042.9,151
2042.9,152
2048.6,152
2048.6,153
2051.4,153
2051.4,154
2054.8,154
2054.8,155
2098.1,155
2098.1,156
2102.1,156
2102.1,157
2108.9,157
2108.9,158
2110.6,158
2110.6,159
2113.6,159
2113.6,160
2133.6,160
2133.6,161
2140.7,161
2140.7,162
2146.1,162
2146.1,163
2162.8,163
2162.8,164
2170.3,164
2170.3,165
2175.9,165
2175.9,166
2186,166
2186,167
2191.2,167
2191.2,168
2197.1,168
2197.1,169
2203.5,169
2203.5,170
2205.3,170
2205.3,171
2208.8,171
2208.8,172
2214.8,172
2214.8,173
2220.8,173
2220.8,174
2225.6,174
2225.6,175
2237.2,175
2237.2,176
2240.1,176
2240.1,177
2246.2,177
2246.2,178
2248,178
2248,179
2250.9,179
2250.9,180
2252.9,180
2252.9,181
2254.6,181
2254.6,182
2257,182
2257,183
2300.3,183
2300.3,184
2317.5,184
2317.5,185
2367.2,185
2367.2,186
2369.7,186
2369.7,187
2376.5,187
2376.5,188
2380.7,188
2380.7,189
2385,189
2385,190
2390.1,190
2390.1,191
2430.8,191
2430.8,192
2452.2,192
2452.2,193
2466,193
2466,194
2469.2,194
2469.2,195
2553.5,195
2553.5,196
2557.1,196
2557.1,197
2576.7,197
2576.7,198
2584.7,198
2584.7,199
2587.5,199
2587.5,200
2597,200
2597,201
2603.6,201
2603.6,202
2609.6,202
2609.6,203
2612.2,203
2612.2,204
2617.5,204
2617.5,205
2622.8,205
2622.8,206
2625.6,206
2625.6,207
2631.4,207
2631.4,208
2640.8,208
2640.8,209
2747.2,209
2747.2,210
2748.1,210
2748.1,211
2833.2,211
2833.2,212
2836,212
2836,213
2838,213
2838,214
2840.3,214
2840.3,215
2891.5,215
2891.5,216
2894.3,216
2894.3,217
2987.9,217
2987.9,218
2989.7,218
2989.7,219
3020.4,219
3020.4,220
3023,220
3023,221
3025,221
3025,222
3032.6,222
3032.6,223
3034,223
3034,224
3036,224
3036,225
3036.9,225
3036.9,226
3038.1,226
3038.1,227
3040.4,227
3040.4,228
3053,228
3053,229
3056.1,229
3056.1,230
3073.6,230
3073.6,231
3079.9,231
3079.9,232
3091.1,232
3091.1,233
3095.1,233
3095.1,234
3097.9,234
3097.9,235
3100.2,235
3100.2,236
3103,236
3103,237
3104.6,237
3104.6,238
3106.1,238
3106.1,239
3109.7,239
3109.7,240
3124.9,240
3124.9,241
3125.9,241
3125.9,242
3127.5,242
3127.5,243
3132,243
3132,244
3136.2,244
3136.2,245
3146.7,245
3146.7,246
3148.3,246
3148.3,247
3148.8,247
3148.8,248
3149.8,248
3149.8,249
3151.1,249
3151.1,250
3153.4,250
3153.4,251
3155.4,251
3155.4,252
3156.9,252
3156.9,253
3158.2,253
3158.2,254
3159,254
3159,255
3160,255
3160,256
3162.1,256
3162.1,257
3163.5,257
3163.5,258
3167.3,258
3167.3,259
3169.3,259
3169.3,260
3172.2,260
3172.2,261
3174,261
3174,262
3179.2,262
3179.2,263
3187.7,263
3187.7,264
3189.9,264
3189.9,265
3191.9,265
3191.9,266
3207.5,266
3207.5,267
3210.7,267
3210.7,268
3223.1,268
3223.1,269
3224.5,269
3224.5,270
3227.1,270
3227.1,271
3231.4,271
3231.4,272
3234.5,272
3234.5,273
3254.3,273
3254.3,274
3256.6,274
3256.6,275
3267.9,275
3267.9,276
3269.8,276
3269.8,277
3293,277
3293,278
3309.2,278
3309.2,279
3311.2,279
3311.2,280
3316.7,280
3316.7,281
3332.2,281
3332.2,282
3350,282
3350,283
3352.3,283
3352.3,284
3359.9,284
3359.9,285
3365.3,285
3365.3,286
3367.3,286
3367.3,287
3373.2,287
3373.2,288
3376.2,288
3376.2,289
3386.5,289
3386.5,290
3388.5,290
3388.5,291
3395.4,291
3395.4,292
3399,292
3399,293
3434.4,293
3434.4,294
3435.8,294
3435.8,295
3445.3,295
3445.3,296
3447.9,296
3447.9,297
3449.4,297
3449.4,298
3450.9,298
3450.9,299
3455.2,299
3455.2,300
3457.1,300
3457.1,301
3461.9,301
3461.9,302
3466.7,302
3466.7,303
3497.8,303
3497.8,304
3502.6,304
3502.6,305
3504.9,305
3504.9,306
3509.2,306
3509.2,307
3511.7,307
3511.7,308
3516.6,308
3516.6,309
3534.5,309
3534.5,310
3537.5,310
3537.5,311
3542,311
3542,312
3545,312
3545,313
3603.7,313
3603.7,314
3605.5,314
3605.5,315
3611.3,315
3611.3,316
3635.9,316
3635.9,317
3639.3,317
3639.3,318
3674.8,318
3674.8,319
3679.4,319
3679.4,320
3699.8,320
3699.8,321
3708.9,321
3708.9,322
3720.4,322
3720.4,323
3723.6,323
3723.6,324
3749.1,324
3749.1,325
3751.9,325
3751.9,326
3757,326
3757,327
3785.6,327
3785.6,328
3792.9,328
3792.9,329
3811,329
3811,330
3817.3,330
3817.3,331
3822.1,331
3822.1,332
3823.6,332
3823.6,333
3824.9,333
3824.9,334
3832,334
3832,335
3839.5,335
3839.5,336
3856.4,336
3856.4,337
3858.4,337
3858.4,338
3882.3,338
3882.3,339
3993.8,339
3993.8,340
3995.3,340
3995.3,341
4029.5,341
4029.5,342
4054.6,342
4054.6,343
4066.6,343
4066.6,344
4070.4,344
4070.4,345
4073.7,345
4073.7,346
4078.9,346
4078.9,347
4081.1,347
4081.1,348
4082.7,348
4082.7,349
4083.8,349
4083.8,350
4090.7,350
4090.7,351
4096.2,351
4096.2,352
4100.8,352
4100.8,353
4105.2,353
4105.2,354
4112.1,354
4112.1,355
4113.8,355
4113.8,356
4115.1,356
4115.1,357
4117,357
4117,358
4120.8,358
4120.8,359
4131.9,359
4131.9,360
4134,360
4134,361
4135.8,361
4135.8,362
4144.5,362
4144.5,363
4146.4,363
4146.4,364
4159.4,364
4159.4,365
4209.4,365
4209.4,366
4218.6,366
4218.6,367
4234.6,367
4234.6,368
4247.7,368
4247.7,369
4249.2,369
4249.2,370
4253.7,370
4253.7,371
4262.7,371
4262.7,372
4281.6,372
4281.6,373
4293.7,373
4293.7,374
4298.3,374
4298.3,375
4301.4,375
4301.4,376
4303.1,376
4303.1,377
4320.6,377
4320.6,378
4323.9,378
4323.9,379
4334.5,379
4334.5,380
4341.7,380
4341.7,381
4344.3,381
4344.3,382
4353,382
4353,383
4354.1,383
4354.1,384
4368.8,384
4368.8,385
4371,385
4371,386
4383.9,386
4383.9,387
4408.4,387
4408.4,388
4410.8,388
4410.8,389
4428.2,389
4428.2,390
4430.2,390
4430.2,391
