time,lambda
0,0.08
0.5157815781578158,0.08
1.0315631563156316,0.08
1.5473447344734472,0.08
2.063126312631263,0.08
2.578907890789079,0.08
3.0946894689468945,0.08
3.6104710471047103,0.08
4.126252625262526,0.08
4.642034203420342,0.08
5.157815781578158,0.08
5.6735973597359735,0.08
6.189378937893789,0.08
6.705160516051605,0.08
7.220942094209421,0.08
7.736723672367237,0.08
8.252505250525052,0.08
8.768286828682868,0.08
9.284068406840683,0.08
9.7998499849985,0.08
10.315631563156316,0.08
10.831413141314131,0.08
11.347194719471947,0.08
11.862976297629762,0.08
12.378757875787578,0.08
12.894539453945395,0.08
13.41032103210321,0.08
13.926102610261026,0.08
14.441884188418841,0.08
14.957665766576657,0.08
15.473447344734474,0.08
15.98922892289229,0.08
16.505010501050105,0.08
17.020792079207922,0.08
17.536573657365736,0.11315369576114848
18.052355235523553,0.11224635931849714
18.568136813681367,0.11136385447911847
19.083918391839184,0.11050550166210715
19.599699969997,0.10967063988504318
20.115481548154815,0.10885862625499619
20.631263126312632,0.10806883547345993
21.147044704470446,0.10730065935483549
21.662826282628263,0.13948277231698747
22.17860786078608,0.13785487274820452
22.694389438943894,0.1362715248521634
23.21017101710171,0.1347315093573672
23.725952595259525,0.13323364036082996
24.241734173417342,0.1317767644148614
24.757515751575156,0.130359759638844
25.273297329732973,0.12898153485531832
25.78907890789079,0.1276410287497122
26.304860486048604,0.1263372090530656
26.82064206420642,0.1250690717471225
27.336423642364235,0.1238356402911775
27.852205220522052,0.1226359648700816
28.36798679867987,0.12146912166282864
28.883768376837683,0.1203342121311583
29.3995499549955,0.11923036232762851
29.915331533153314,0.11815672222262442
30.43111311131113,0.11711246504978512
30.946894689468948,0.11609678666934481
31.46267626762676,0.11510890494889758
31.97845784578458,0.1141480591611092
32.494239423942396,0.11321350939791217
33.01002100210021,0.11230453600073262
33.52580258025802,0.1114204390063108
34.041584158415844,0.1105605376076879
34.55736573657366,0.1097241696299445
35.07314731473147,0.10891069102028664
35.588928892889285,0.10811947535208719
36.104710471047106,0.10734991334250019
36.62049204920492,0.10660141238327722
37.13627362736273,0.1058733960844238
37.652055205520554,0.10516530383034511
38.16783678367837,0.1377531169053401
38.68361836183618,0.1361725538205354
39.199399939994,0.13463524692342943
39.715181518151816,0.13314001239681675
40.23096309630963,0.1316856988217046
40.74674467446744,0.1302711862906525
41.262526252625264,0.12889538554537705
41.77830783078308,0.12755723713795888
42.29408940894089,0.1262557106150049
42.80987098709871,0.12498980372413843
43.325652565256526,0.12375854164220554
43.84143414341434,0.12256097622460355
44.35721572157216,0.12139618527515368
44.872997299729974,0.12026327183595548
45.38877887788779,0.11916136349667615
45.9045604560456,0.15184082975987098
46.42034203420342,0.14987472005731925
46.936123612361236,0.1479624180206226
47.45190519051905,0.146102451064146
47.96768676867687,0.14429338690336058
48.483468346834684,0.14253383245189993
48.9992499249925,0.14082243274880102
49.51503150315031,0.13915786991510426
50.03081308130813,0.13753886213900884
50.546594659465946,0.13596416268880174
51.06237623762376,0.13443255895280065
51.57815781578158,0.13294287150557133
52.093939393939394,0.13149395319970014
52.60972097209721,0.13008468828242287
53.12550255025503,0.12871399153642907
53.64128412841284,0.12738080744418054
54.157065706570656,0.12608410937510042
54.67284728472847,0.12482289879500702
55.18862886288629,0.12359620449718331
55.704410441044104,0.12240308185449052
56.22019201920192,0.12124261209194921
56.73597359735974,0.12011390157922833
57.25175517551755,0.11901608114249695
57.767536753675365,0.11794830539510912
58.283318331833186,0.11690975208660605
58.799099909991,0.11589962146953472
59.314881488148814,0.11491713568359505
59.83066306630663,0.11396153815664141
60.34644464446445,0.1130320930220774
60.86222622262226,0.11212808455219508
61.378007800780075,0.11124881660702227
61.893789378937896,0.11039361209825356
62.40957095709571,0.10956181246785246
62.92535253525352,0.10875277718092256
63.441134113411344,0.10796588323245794
63.95691569156916,0.10720052466759242
64.47269726972698,0.10645611211497845
64.98847884788479,0.10573207233293642
65.5042604260426,0.10502784776802462
66.02004200420042,0.10434289612569006
66.53582358235823,0.10367668995266975
67.05160516051605,0.10302871623082036
67.56738673867386,0.10239847598206397
68.08316831683169,0.10178548388414549
68.5989498949895,0.10118926789690577
69.11473147314732,0.10060936889878278
69.63051305130513,0.10004534033326086
70.14629462946294,0.09949674786499584
70.66207620762076,0.09896316904535106
71.17785778577857,0.09844419298708706
71.6936393639364,0.09793942004795399
72.20942094209421,0.09744846152294354
72.72520252025203,0.09697093934496305
73.24098409840984,0.0965064857937015
73.75676567656765,0.09605474321246316
74.27254725472547,0.09561536373275076
74.7883288328833,0.09518800900638615
75.30411041104111,0.0947723499449623
75.81989198919892,0.09436806646642565
76.33567356735674,0.09397484724859408
76.85145514551455,0.09359238948942039
77.36723672367236,0.09322039867381683
77.88301830183018,0.09285858834686106
78.398799879988,0.09250667989320892
78.91458145814582,0.09216440232254419
79.43036303630363,0.09183149206089998
79.94614461446145,0.09150769274769115
80.46192619261926,0.09119275503830158
80.97770777077707,0.09088643641207406
81.49348934893489,0.09058850098555499
82.00927092709271,0.09029871933085022
82.52505250525053,0.09001686829895204
83.04083408340834,0.08974273084790114
83.55661566156616,0.08947609587565158
84.07239723972397,0.08921675805750968
84.58817881788178,0.08896451768802187
85.1039603960396,0.08871918052718966
85.61974197419742,0.08848055765089344
86.13552355235524,0.08824846530540964
86.65130513051305,0.08802272476590955
87.16708670867087,0.08780316219883065
87.68286828682868,0.0875896085280144
88.19864986498649,0.08738189930450772
88.71443144314432,0.12001784391452161
89.23021302130213,0.11892265234367634
